Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2017,Johnson,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,10,2,0,9,0,0,0,0
2017,Laramie,0,0,1,3,0,82,6,0,147,0,0,0,4,28,19,0,3,106,87,0,3,1,52,0,25,134,1,13,0,0
2017,Lincoln,0,2,0,0,2,1,2,4,2,0,0,0,0,3,0,0,1,2,1,0,0,2,1,0,0,0,0,2,0,0
2017,Natrona,0,0,1,1,8,88,6,0,79,0,0,5,0,21,4,0,1,120,117,0,0,4,79,3,0,149,0,37,0,0
2017,Niobrara,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Park,0,1,0,2,0,9,0,0,1,0,1,0,4,1,0,0,0,10,9,0,0,1,12,0,7,35,0,0,0,0
2017,Platte,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0
2017,Sheridan,0,0,0,7,0,20,3,0,15,0,0,0,2,8,0,0,0,28,28,0,1,1,33,0,3,40,0,14,0,0
2017,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0
2017,Sweetwater,0,1,0,2,1,23,1,4,18,0,0,0,0,7,4,0,1,24,21,0,1,5,36,0,18,55,4,9,0,0
2017,Teton,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,0,0,0,0
2017,Uinta,0,0,0,1,0,15,5,0,7,0,0,0,0,1,0,0,0,4,2,0,0,1,6,4,4,36,0,5,0,0
2017,Washakie,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0
